b'1681',b'You So Crazy (1994)'
b'820',b'Space Jam (1996)'
b'194',"b'Sting, The (1973)'"
b'869',b'Fools Rush In (1997)'
b'341',b'Critical Care (1997)'
b'1651',"b'Spanish Prisoner, The (1997)'"
b'1442',"b'Scarlet Letter, The (1995)'"
b'1183',"b'Cowboy Way, The (1994)'"
b'1656',b'Little City (1998)'
b'1206',b'Amos & Andrew (1993)'
b'749',"b'MatchMaker, The (1997)'"
b'1392',"b'Locusts, The (1997)'"
b'953',b'Unstrung Heroes (1995)'
b'1360',"b'Sexual Life of the Belgians, The (1994)'"
b'1130',"b""Jupiter's Wife (1994)"""
b'1299',b'Penny Serenade (1941)'
b'1045',b'Fearless (1993)'
b'21',b'Muppet Treasure Island (1996)'
b'1615',b'Warriors of Virtue (1997)'
b'1253',"b'Tie That Binds, The (1995)'"
b'1661',"b'New Age, The (1994)'"
b'309',b'Deceiver (1997)'
b'1368',b'Mina Tannenbaum (1994)'
b'1232',b'Madonna: Truth or Dare (1991)'
b'537',b'My Own Private Idaho (1991)'
b'1561',b'Tigrero: A Film That Was Never Made (1994)'
b'758',b'Lawnmower Man 2: Beyond Cyberspace (1996)'
b'623',b'Angels in the Outfield (1994)'
b'605',b'Meet Me in St. Louis (1944)'
b'377',b'Heavyweights (1994)'
b'696',b'City Hall (1996)'
b'727',b'Immortal Beloved (1994)'
b'648',"b'Quiet Man, The (1952)'"
b'1600',b'Guantanamera (1994)'
b'1235',"b'Big Bang Theory, The (1994)'"
b'113',"b'Horseman on the Roof, The (Hussard sur le toit, Le) (1995)'"
b'73',b'Maverick (1994)'
b'1571',b'Touki Bouki (Journey of the Hyena) (1973)'
b'239',b'Sneakers (1992)'
b'328',b'Conspiracy Theory (1997)'
b'361',b'Incognito (1997)'
b'1421',b'My Crazy Life (Mi vida loca) (1993)'
b'292',b'Rosewood (1997)'
b'522',b'Down by Law (1986)'
b'526',b'Ben-Hur (1959)'
b'1228',b'Under Siege 2: Dark Territory (1995)'
b'215',b'Field of Dreams (1989)'
b'1628',b'Lamerica (1994)'
b'876',b'Money Talks (1997)'
b'424',b'Children of the Corn: The Gathering (1996)'
b'311',"b'Wings of the Dove, The (1997)'"
b'730',"b'Queen Margot (Reine Margot, La) (1994)'"
b'654',b'Chinatown (1974)'
b'928',"b'Craft, The (1996)'"
b'43',b'Disclosure (1994)'
b'788',b'Relative Fear (1994)'
b'632',"b""Sophie's Choice (1982)"""
b'406',b'Thinner (1996)'
b'10',b'Richard III (1995)'
b'1620',"b'Sixth Man, The (1997)'"
b'119',b'Maya Lin: A Strong Clear Vision (1994)'
b'8',b'Babe (1995)'
b'936',b'Brassed Off (1996)'
b'942',"b""What's Love Got to Do with It (1993)"""
b'779',b'Drop Zone (1994)'
b'1630',"b'Silence of the Palace, The (Saimt el Qusur) (1994)'"
b'84',"b""Robert A. Heinlein's The Puppet Masters (1994)"""
b'1401',b'M. Butterfly (1993)'
b'1087',b'Bloodsport 2 (1995)'
b'1391',b'For Ever Mozart (1996)'
b'1044',"b'Paper, The (1994)'"
b'1061',"b'Evening Star, The (1996)'"
b'1358',b'The Deadly Cure (1996)'
b'145',"b'Lawnmower Man, The (1992)'"
b'1332',"b""My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)"""
b'603',b'Rear Window (1954)'
b'1408',b'Gordy (1995)'
b'1204',b'To Be or Not to Be (1942)'
b'44',b'Dolores Claiborne (1994)'
b'1068',"b""Star Maker, The (Uomo delle stelle, L') (1995)"""
b'1667',"b'Next Step, The (1995)'"
b'1113',b'Mrs. Parker and the Vicious Circle (1994)'
b'325',b'Crash (1996)'
b'342',"b'Man Who Knew Too Little, The (1997)'"
b'646',b'Once Upon a Time in the West (1969)'
b'269',"b'Full Monty, The (1997)'"
b'354',"b'Wedding Singer, The (1998)'"
b'1632',b'Land and Freedom (Tierra y libertad) (1995)'
b'116',b'Cold Comfort Farm (1995)'
b'131',"b""Breakfast at Tiffany's (1961)"""
b'265',"b'Hunt for Red October, The (1990)'"
b'187',"b'Godfather: Part II, The (1974)'"
b'1496',b'Carpool (1996)'
b'855',b'Diva (1981)'
b'741',"b'Last Supper, The (1995)'"
b'1587',b'Terror in a Texas Town (1958)'
b'376',b'Houseguest (1994)'
b'320',b'Paradise Lost: The Child Murders at Robin Hood Hills (1996)'
b'713',b'Othello (1995)'
b'401',"b'Brady Bunch Movie, The (1995)'"
b'1082',b'Female Perversions (1996)'
b'541',b'Mortal Kombat (1995)'
b'1449',b'Pather Panchali (1955)'
b'1102',b'Two Much (1996)'
b'1448',b'My Favorite Season (1993)'
b'1547',"b'Show, The (1995)'"
b'140',b'Homeward Bound: The Incredible Journey (1993)'
b'571',b'Another Stakeout (1993)'
b'678',b'Volcano (1997)'
b'451',b'Grease (1978)'
b'284',b'Tin Cup (1996)'
b'1062',b'Four Days in September (1997)'
b'1162',b'Phat Beach (1996)'
b'708',"b'Sex, Lies, and Videotape (1989)'"
b'293',b'Donnie Brasco (1997)'
b'1127',"b'Truman Show, The (1998)'"
b'764',b'If Lucy Fell (1996)'
b'1432',"b'Mighty, The (1998)'"
b'1390',"b'Innocent Sleep, The (1995)'"
b'650',"b'Seventh Seal, The (Sjunde inseglet, Det) (1957)'"
b'1252',"b'Contempt (M\xc3\xa9pris, Le) (1963)'"
b'275',b'Sense and Sensibility (1995)'
b'1599',"b""Someone Else's America (1995)"""
b'835',"b'Gay Divorcee, The (1934)'"
b'781',b'French Kiss (1995)'
b'839',b'Loch Ness (1995)'
b'1539',b'Being Human (1993)'
b'581',b'Kalifornia (1993)'
b'385',b'True Lies (1994)'
b'1673',b'Mirage (1995)'
b'390',b'Fear of a Black Hat (1993)'
b'1618',b'King of New York (1990)'
b'310',"b'Rainmaker, The (1997)'"
b'460',"b'Crossing Guard, The (1995)'"
b'271',b'Starship Troopers (1997)'
b'1129',b'Chungking Express (1994)'
b'1642',"b""Some Mother's Son (1996)"""
b'71',"b'Lion King, The (1994)'"
b'1048',"b""She's the One (1996)"""
b'548',"b'NeverEnding Story III, The (1994)'"
b'1248',b'Blink (1994)'
b'703',"b""Widows' Peak (1994)"""
b'842',b'Pollyanna (1960)'
b'1284',b'Before and After (1996)'
b'1511',b'Children of the Revolution (1996)'
b'90',b'So I Married an Axe Murderer (1993)'
b'69',b'Forrest Gump (1994)'
b'200',"b'Shining, The (1980)'"
b'1437',b'House Party 3 (1994)'
b'39',b'Strange Days (1995)'
b'1212',b'Flesh and Bone (1993)'
b'1555',"b'Secret Adventures of Tom Thumb, The (1993)'"
b'1355',b'Infinity (1996)'
b'94',b'Home Alone (1990)'
b'76',"b""Carlito's Way (1993)"""
b'160',b'Glengarry Glen Ross (1992)'
b'739',b'Pretty Woman (1990)'
b'466',b'Red Rock West (1992)'
b'1554',b'Safe Passage (1994)'
b'1679',b'B. Monkey (1998)'
b'1303',"b'Getaway, The (1994)'"
b'888',b'One Night Stand (1997)'
b'441',"b'Amityville Horror, The (1979)'"
b'1646',b'Men With Guns (1997)'
b'367',b'Clueless (1995)'
b'64',"b'Shawshank Redemption, The (1994)'"
b'1263',b'Foxfire (1996)'
b'1118',b'Up in Smoke (1978)'
b'1466',"b""Margaret's Museum (1995)"""
b'127',"b'Godfather, The (1972)'"
b'1633',b'\xc3\x81 k\xc3\xb6ldum klaka (Cold Fever) (1994)'
b'1489',b'Chasers (1994)'
b'12',"b'Usual Suspects, The (1995)'"
b'502',b'Bananas (1971)'
b'1353',b'1-900 (1994)'
b'1276',b'Sunset Park (1996)'
b'1128',b'Heidi Fleiss: Hollywood Madam (1995) '
b'225',b'101 Dalmatians (1996)'
b'372',b'Jeffrey (1995)'
b'534',b'Traveller (1997)'
b'794',b'It Could Happen to You (1994)'
b'150',b'Swingers (1996)'
b'731',"b'Corrina, Corrina (1994)'"
b'1016',b'Con Air (1997)'
b'221',b'Breaking the Waves (1996)'
b'514',b'Annie Hall (1977)'
b'755',b'Jumanji (1995)'
b'338',b'Bean (1997)'
b'831',b'Escape from L.A. (1996)'
b'1237',b'Twisted (1996)'
b'223',b'Sling Blade (1996)'
b'1086',"b""It's My Party (1995)"""
b'1579',b'Baton Rouge (1988)'
b'86',"b'Remains of the Day, The (1993)'"
b'567',"b""Wes Craven's New Nightmare (1994)"""
b'1197',"b'Family Thing, A (1996)'"
b'1472',"b'Visitors, The (Visiteurs, Les) (1993)'"
b'643',b'The Innocent (1994)'
b'360',b'Wonderland (1997)'
b'1003',b'That Darn Cat! (1997)'
b'274',b'Sabrina (1995)'
b'951',"b'Indian in the Cupboard, The (1995)'"
b'126',"b'Spitfire Grill, The (1996)'"
b'416',b'Old Yeller (1957)'
b'701',"b'Wonderful, Horrible Life of Leni Riefenstahl, The (1993)'"
b'281',"b'River Wild, The (1994)'"
b'751',b'Tomorrow Never Dies (1997)'
b'722',b'Nine Months (1995)'
b'1318',b'Catwalk (1995)'
b'1215',b'Barb Wire (1996)'
b'644',"b'Thin Blue Line, The (1988)'"
b'378',b'Miracle on 34th Street (1994)'
b'622',b'Swiss Family Robinson (1960)'
b'802',b'Hard Target (1993)'
b'1517',b'Race the Sun (1996)'
b'1435',"b'Steal Big, Steal Little (1995)'"
b'856',b'Night on Earth (1991)'
b'1274',b'Robocop 3 (1993)'
b'841',"b'Glimmer Man, The (1996)'"
b'1675',"b'Sunchaser, The (1996)'"
b'1227',"b'Awfully Big Adventure, An (1995)'"
b'415',"b'Apple Dumpling Gang, The (1975)'"
b'966',"b'Affair to Remember, An (1957)'"
b'913',b'Love and Death on Long Island (1997)'
b'410',b'Kingpin (1996)'
b'93',b'Welcome to the Dollhouse (1995)'
b'409',b'Jack (1996)'
b'599',b'Police Story 4: Project S (Chao ji ji hua) (1993)'
b'1017',b'Trees Lounge (1996)'
b'1005',"b'Double vie de V\xc3\xa9ronique, La (Double Life of Veronique, The) (1991)'"
b'260',b'Event Horizon (1997)'
b'875',"b""She's So Lovely (1997)"""
b'1595',b'Shopping (1994)'
b'611',b'Laura (1944)'
b'1132',b'Feeling Minnesota (1996)'
b'535',b'Addicted to Love (1997)'
b'396',b'Serial Mom (1994)'
b'250',"b'Fifth Element, The (1997)'"
b'435',b'Butch Cassidy and the Sundance Kid (1969)'
b'1034',"b'Quest, The (1996)'"
b'893',b'For Richer or Poorer (1997)'
b'369',b'Black Sheep (1996)'
b'706',b'Bad Moon (1996)'
b'982',b'Maximum Risk (1996)'
b'3',b'Four Rooms (1995)'
b'252',"b'Lost World: Jurassic Park, The (1997)'"
b'1490',b'Fausto (1993)'
b'450',b'Star Trek V: The Final Frontier (1989)'
b'628',b'Sleepers (1996)'
b'1187',b'Switchblade Sisters (1975)'
b'1601',b'Office Killer (1997)'
b'949',b'How to Make an American Quilt (1995)'
b'1381',b'Losing Chase (1996)'
b'471',b'Courage Under Fire (1996)'
b'323',"b""Dante's Peak (1997)"""
b'245',"b""Devil's Own, The (1997)"""
b'319',b'Everyone Says I Love You (1996)'
b'208',b'Young Frankenstein (1974)'
b'1534',b'Twin Town (1997)'
b'1287',b'Ed (1996)'
b'957',b'Pushing Hands (1992)'
b'1148',b'Tom & Viv (1994)'
b'663',b'Being There (1979)'
b'191',b'Amadeus (1984)'
b'149',b'Jude (1996)'
b'1394',b'Swept from the Sea (1997)'
b'1427',b'Drunks (1995)'
b'825',"b'Arrival, The (1996)'"
b'1136',b'Ghosts of Mississippi (1996)'
b'1676',"b'War at Home, The (1996)'"
b'1105',b'Firestorm (1998)'
b'1168',b'Little Buddha (1993)'
b'818',b'Girl 6 (1996)'
b'1522',b'Trial by Jury (1994)'
b'740',b'Jane Eyre (1996)'
b'1291',b'Celtic Pride (1996)'
b'1417',"b'Turning, The (1992)'"
b'190',b'Henry V (1989)'
b'568',b'Speed (1994)'
b'398',b'Super Mario Bros. (1993)'
b'1340',"b'Crude Oasis, The (1995)'"
b'1440',b'Above the Rim (1994)'
b'868',b'Hearts and Minds (1996)'
b'1042',b'Just Cause (1995)'
b'1507',b'Three Lives and Only One Death (1996)'
b'583',b'Romeo Is Bleeding (1993)'
b'704',"b'House of the Spirits, The (1993)'"
b'374',b'Mighty Morphin Power Rangers: The Movie (1995)'
b'47',b'Ed Wood (1994)'
b'226',b'Die Hard 2 (1990)'
b'1491',b'Tough and Deadly (1995)'
b'1623',"b'C\xc3\xa9r\xc3\xa9monie, La (1995)'"
b'932',b'First Kid (1996)'
b'873',b'Picture Perfect (1997)'
b'506',b'Rebel Without a Cause (1955)'
b'785',b'Only You (1994)'
b'449',b'Star Trek: The Motion Picture (1979)'
b'666',"b""Blood For Dracula (Andy Warhol's Dracula) (1974)"""
b'745',"b'Ruling Class, The (1972)'"
b'562',"b'Quick and the Dead, The (1995)'"
b'995',"b'Kiss Me, Guido (1997)'"
b'58',b'Quiz Show (1994)'
b'352',b'Spice World (1997)'
b'423',b'E.T. the Extra-Terrestrial (1982)'
b'1120',"b""I'm Not Rappaport (1996)"""
b'1385',"b""Roseanna's Grave (For Roseanna) (1997)"""
b'1551',"b'Glass Shield, The (1994)'"
b'1506',b'Nelly & Monsieur Arnaud (1995)'
b'1155',"b'Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)'"
b'1668',b'Wedding Bell Blues (1996)'
b'1338',b'Two Deaths (1995)'
b'1038',b'Switchback (1997)'
b'608',b'Spellbound (1945)'
b'1244',b'Metro (1997)'
b'859',"b""April Fool's Day (1986)"""
b'322',b'Murder at 1600 (1997)'
b'651',b'Glory (1989)'
b'1433',b'Men of Means (1998)'
b'1476',b'Raw Deal (1948)'
b'963',b'Some Folks Call It a Sling Blade (1993)'
b'956',"b""Nobody's Fool (1994)"""
b'1091',"b""Pete's Dragon (1977)"""
b'343',b'Alien: Resurrection (1997)'
b'1607',b'Hurricane Streets (1998)'
b'1181',"b'Low Down Dirty Shame, A (1994)'"
b'1384',b'Squeeze (1996)'
b'1397',b'Of Human Bondage (1934)'
b'1557',b'Yankee Zulu (1994)'
b'606',b'All About Eve (1950)'
b'746',b'Real Genius (1985)'
b'1640',"b'Eighth Day, The (1996)'"
b'607',b'Rebecca (1940)'
b'1146',b'Calendar Girl (1993)'
b'493',"b'Thin Man, The (1934)'"
b'775',b'Something to Talk About (1995)'
b'1467',"b'Saint of Fort Washington, The (1993)'"
b'141',"b'20,000 Leagues Under the Sea (1954)'"
b'911',b'Twilight (1998)'
b'81',"b'Hudsucker Proxy, The (1994)'"
b'934',"b""Preacher's Wife, The (1996)"""
b'1223',b'King of the Hill (1993)'
b'458',b'Nixon (1995)'
b'797',b'Timecop (1994)'
b'38',"b'Net, The (1995)'"
b'438',b'Amityville 3-D (1983)'
b'1296',b'Indian Summer (1996)'
b'1138',b'Best Men (1997)'
b'1387',b'Fall (1997)'
b'1282',"b'Grass Harp, The (1995)'"
b'527',b'Gandhi (1982)'
b'798',b'Bad Company (1995)'
b'1393',b'Stag (1997)'
b'1123',"b'Last Time I Saw Paris, The (1954)'"
b'1336',b'Kazaam (1996)'
b'1262',b'Walking and Talking (1996)'
b'384',b'Naked Gun 33 1/3: The Final Insult (1994)'
b'955',b'Before Sunrise (1995)'
b'830',b'Power 98 (1995)'
b'519',"b'Treasure of the Sierra Madre, The (1948)'"
b'777',b'Castle Freak (1995)'
b'1339',b'Stefano Quantestorie (1993)'
b'840',b'Last Man Standing (1996)'
b'1573',b'Spirits of the Dead (Tre passi nel delirio) (1968)'
b'1611',b'Intimate Relations (1996)'
b'1125',"b'Innocents, The (1961)'"
b'824',"b'Great White Hype, The (1996)'"
b'1354',b'Venice/Venice (1992)'
b'593',b'Stalingrad (1993)'
